Player_Name,Team,Opponent,Year,Week,Home_Away,Snap_Count,Snap_Share_Pct,Rush_ATT,Rush_YDS,Rush_Y_per_Att,Rush_TD,Rec_TGT,Rec_REC,Rec_YDS,Rec_Y_per_Rec,Rec_TD,Fantasy_Pts_HalfPPR,RB_Def_Rank,Avg_Fantasy_Pts_Allowed_RB
Audric Estime,Broncos,Browns,2024,13,Home,8,12,3,12,4,0,0,0,0,0,0,1.2,6,8.64
Audric Estime,Broncos,Colts,2024,15,Home,13,21,5,13,2.6,0,1,1,5,5,0,2.3,32,13.3
Audric Estime,Broncos,Chargers,2024,16,Away,13,20,9,48,5.3,1,0,0,0,0,0,10.8,2,8.07
Audric Estime,Broncos,Bengals,2024,17,Away,18,30,9,24,2.7,0,1,1,13,13,0,4.2,20,11.33
Audric Estime,Broncos,Chiefs,2024,18,Home,18,24,12,34,2.8,1,0,0,0,0,0,9.4,1,7.31
Austin Ekeler,Chargers,Dolphins,2023,1,Home,41,51,16,117,7.3,1,5,4,47,11.8,0,24.4,,
Austin Ekeler,Chargers,Cowboys,2023,6,Home,50,68,14,27,1.9,0,6,4,35,8.8,0,8.2,5,6.33
Austin Ekeler,Chargers,Chiefs,2023,7,Away,40,63,14,45,3.2,0,2,1,1,1,0,5.1,3,5.74
Austin Ekeler,Chargers,Bears,2023,8,Home,46,67,15,29,1.9,0,8,7,94,13.4,1,19.8,23,10.38
Austin Ekeler,Chargers,Jets,2023,9,Away,39,67,14,47,3.4,2,7,2,23,11.5,0,20,18,10.22
Austin Ekeler,Chargers,Lions,2023,10,Home,50,69,19,67,3.5,1,7,4,48,12,0,19.5,3,6.82
Austin Ekeler,Chargers,Packers,2023,11,Away,46,71,10,64,6.4,0,3,2,6,3,0,6,16,10.25
Austin Ekeler,Chargers,Ravens,2023,12,Home,53,80,10,32,3.2,0,6,5,32,6.4,0,6.9,18,9.69
Austin Ekeler,Chargers,Patriots,2023,13,Away,35,57,14,18,1.3,0,3,2,9,4.5,0,3.7,8,8.15
Austin Ekeler,Chargers,Broncos,2023,14,Home,49,72,10,51,5.1,1,7,5,49,9.8,0,18.5,29,12.58
Austin Ekeler,Chargers,Raiders,2023,15,Away,26,40,5,9,1.8,0,6,4,29,7.3,0,5.8,24,10.99
Austin Ekeler,Chargers,Bills,2023,16,Home,45,64,15,65,4.3,0,4,3,21,7,0,10.1,23,10.55
Austin Ekeler,Chargers,Broncos,2023,17,Away,47,72,13,46,3.5,0,2,1,4,4,0,3.5,31,13.11
Austin Ekeler,Chargers,Chiefs,2023,18,Home,63,76,10,11,1.1,0,8,7,38,5.4,0,8.4,,
Austin Ekeler,Commanders,Buccaneers,2024,1,Away,31,53,2,10,5,0,4,4,52,13,0,8.2,,
Austin Ekeler,Commanders,Giants,2024,2,Home,31,43,8,38,4.8,0,3,3,47,15.7,0,10,8,7.9
Austin Ekeler,Commanders,Bengals,2024,3,Away,13,22,3,35,11.7,1,2,2,22,11,0,12.7,31,16.85
Austin Ekeler,Commanders,Browns,2024,5,Home,33,49,6,67,11.2,0,2,2,30,15,0,10.7,1,7.23
Austin Ekeler,Commanders,Ravens,2024,6,Away,44,75,9,21,2.3,0,5,4,47,11.8,0,8.8,7,8.46
Austin Ekeler,Commanders,Panthers,2024,7,Home,28,41,4,17,4.3,0,2,2,3,1.5,0,3,29,14.28
Austin Ekeler,Commanders,Bears,2024,8,Home,42,57,7,52,7.4,0,3,2,6,3,0,6.8,18,10.39
Austin Ekeler,Commanders,Giants,2024,9,Away,29,47,11,42,3.8,1,4,3,41,13.7,0,15.8,9,9.72
Austin Ekeler,Commanders,Steelers,2024,10,Home,45,70,13,44,3.4,2,2,1,7,7,0,17.6,9,9.32
Austin Ekeler,Commanders,Eagles,2024,11,Away,34,52,2,7,3.5,0,9,8,89,11.1,0,13.6,3,7.33
Austin Ekeler,Commanders,Cowboys,2024,12,Home,44,63,9,22,2.4,0,3,2,2,1,0,3.4,25,12.71
Austin Ekeler,Commanders,Cowboys,2024,18,Away,35,60,3,12,4,0,2,2,20,10,0,4.2,31,12.64
Bhayshul Tuten,Jaguars,Panthers,2025,1,Home,4,6,3,11,3.7,0,0,0,0,0,0,1.1,,
Bhayshul Tuten,Jaguars,Bengals,2025,2,Away,18,25,8,42,5.3,0,2,2,32,16,1,14.4,7,7.15
Bhayshul Tuten,Jaguars,Texans,2025,3,Home,12,17,6,21,3.5,1,1,0,0,0,0,8.1,30,14.03
Bhayshul Tuten,Jaguars,49ers,2025,4,Away,16,24,4,14,3.5,0,1,1,8,8,0,2.7,12,8.55
Bhayshul Tuten,Jaguars,Chiefs,2025,5,Home,12,21,4,6,1.5,0,1,1,5,5,0,1.6,28,15.52
Bhayshul Tuten,Jaguars,Seahawks,2025,6,Home,11,14,2,14,7,0,3,2,14,7,0,3.8,15,10.24
Bhayshul Tuten,Jaguars,Rams,2025,7,Home,22,29,5,22,4.4,0,0,0,0,0,0,2.2,17,10.32
Bhayshul Tuten,Jaguars,Raiders,2025,9,Away,20,25,9,29,3.2,1,1,1,-3,-3,0,9.1,12,9.48
Bhayshul Tuten,Jaguars,Texans,2025,10,Away,17,27,4,5,1.3,0,2,1,5,5,0,1.5,13,9.29
Bhayshul Tuten,Jaguars,Chargers,2025,11,Home,23,32,15,74,4.9,1,0,0,0,0,0,13.4,12,9.02
Bhayshul Tuten,Jaguars,Cardinals,2025,12,Away,13,21,7,17,2.4,0,1,0,0,0,0,1.7,20,11.32
